1.00,1.00,1.00,15.00,78.35,58.00,81.19,38.00
2.00,1.00,1.00,16.00,102.85,76.00,113.32,65.00
3.00,1.00,1.00,1.00,116.63,86.00,128.15,59.00
4.00,1.00,1.00,20.00,7.60,6.00,8.51,4.00
5.00,1.00,1.00,11.00,7.23,5.00,7.77,4.00
6.00,1.00,1.00,6.00,87.59,65.00,90.47,41.00
7.00,1.00,1.00,17.00,133.32,99.00,148.50,60.00
8.00,1.00,1.00,14.00,32.98,24.00,35.18,13.00
9.00,1.00,1.00,20.00,2.12,2.00,2.28,1.00
10.00,1.00,1.00,3.00,38.46,28.00,38.68,18.00
11.00,1.00,1.00,8.00,128.25,95.00,143.95,66.00
12.00,1.00,1.00,6.00,22.01,16.00,23.79,11.00
13.00,1.00,1.00,9.00,44.10,33.00,47.59,20.00
14.00,1.00,1.00,4.00,10.91,8.00,11.54,8.00
15.00,1.00,1.00,6.00,51.23,38.00,53.08,36.00
16.00,1.00,11.00,13.00,16.56,10.00,14.18,8.00
17.00,1.00,11.00,19.00,3.82,2.00,3.27,2.00
18.00,1.00,11.00,9.00,84.91,50.00,72.29,37.00
19.00,1.00,11.00,8.00,45.58,27.00,36.72,17.00
20.00,1.00,11.00,20.00,65.96,39.00,55.17,29.00
21.00,1.00,11.00,4.00,43.48,26.00,37.52,20.00
22.00,1.00,11.00,4.00,110.61,65.00,94.09,46.00
23.00,1.00,11.00,3.00,77.68,46.00,68.00,37.00
24.00,1.00,11.00,17.00,35.55,21.00,28.70,12.00
25.00,1.00,11.00,7.00,0.04,0.00,0.03,0.00
26.00,1.00,11.00,11.00,13.84,8.00,11.34,7.00
27.00,1.00,11.00,10.00,25.35,15.00,22.06,14.00
28.00,1.00,11.00,11.00,128.06,76.00,107.59,55.00
29.00,1.00,11.00,10.00,55.73,33.00,45.11,26.00
30.00,1.00,11.00,4.00,16.55,10.00,13.97,6.00
31.00,1.00,11.00,18.00,46.13,27.00,40.01,17.00
32.00,1.00,11.00,2.00,54.54,32.00,47.94,21.00
33.00,1.00,11.00,5.00,43.03,25.00,35.89,13.00
34.00,1.00,11.00,10.00,146.11,86.00,125.49,76.00
35.00,1.00,11.00,19.00,91.76,54.00,74.15,44.00
36.00,1.00,11.00,9.00,19.37,11.00,17.29,9.00
37.00,1.00,11.00,7.00,81.12,48.00,66.67,48.00
38.00,1.00,11.00,3.00,58.37,35.00,49.89,33.00
39.00,1.00,11.00,11.00,143.18,85.00,126.38,71.00
40.00,1.00,11.00,15.00,57.43,34.00,48.79,24.00
41.00,1.00,11.00,14.00,71.47,42.00,61.06,38.00
42.00,1.00,11.00,11.00,86.03,51.00,70.79,41.00
43.00,1.00,11.00,10.00,149.84,89.00,125.42,58.00
44.00,1.00,11.00,6.00,89.54,53.00,73.63,42.00
45.00,1.00,11.00,8.00,80.78,48.00,66.17,40.00
46.00,1.00,11.00,15.00,132.18,78.00,107.88,71.00
47.00,1.00,11.00,5.00,11.13,7.00,8.97,6.00
48.00,1.00,11.00,8.00,20.20,12.00,16.40,7.00
49.00,1.00,11.00,1.00,90.08,53.00,77.12,32.00
50.00,1.00,11.00,10.00,127.14,75.00,106.78,72.00
51.00,1.00,11.00,15.00,107.24,63.00,93.44,32.00
52.00,1.00,11.00,9.00,166.53,99.00,146.59,84.00
53.00,1.00,11.00,9.00,46.84,28.00,39.14,20.00
54.00,1.00,11.00,19.00,109.17,65.00,91.13,36.00
55.00,1.00,11.00,4.00,73.14,43.00,65.52,33.00
