1.00,1994-10-01 00:00:00,"Saturday",1.00,273.00,39.00,39.00,"34638",4.00,"4Q94",1994.00,"N"
2.00,1994-10-02 00:00:00,"Sunday",2.00,274.00,40.00,40.00,"34638",4.00,"4Q94",1994.00,"N"
3.00,1994-10-03 00:00:00,"Monday",3.00,275.00,40.00,40.00,"34638",4.00,"4Q94",1994.00,"N"
4.00,1994-10-04 00:00:00,"Tuesday",4.00,276.00,40.00,40.00,"34638",4.00,"4Q94",1994.00,"N"
5.00,1994-10-05 00:00:00,"Wednesday",5.00,277.00,40.00,40.00,"34638",4.00,"4Q94",1994.00,"N"
6.00,1994-10-06 00:00:00,"Thursday",6.00,278.00,40.00,40.00,"34638",4.00,"4Q94",1994.00,"N"
7.00,1994-10-07 00:00:00,"Friday",7.00,279.00,40.00,40.00,"34638",4.00,"4Q94",1994.00,"N"
8.00,1994-10-08 00:00:00,"Saturday",8.00,280.00,40.00,40.00,"34638",4.00,"4Q94",1994.00,"N"
9.00,1994-10-09 00:00:00,"Sunday",9.00,281.00,41.00,41.00,"34638",4.00,"4Q94",1994.00,"N"
10.00,1994-10-10 00:00:00,"Monday",10.00,282.00,41.00,41.00,"34638",4.00,"4Q94",1994.00,"N"
11.00,1994-10-11 00:00:00,"Tuesday",11.00,283.00,41.00,41.00,"34638",4.00,"4Q94",1994.00,"Y"
12.00,1994-10-12 00:00:00,"Wednesday",12.00,284.00,41.00,41.00,"34638",4.00,"4Q94",1994.00,"N"
13.00,1994-10-13 00:00:00,"Thursday",13.00,285.00,41.00,41.00,"34638",4.00,"4Q94",1994.00,"N"
14.00,1994-10-14 00:00:00,"Friday",14.00,286.00,41.00,41.00,"34638",4.00,"4Q94",1994.00,"N"
15.00,1994-10-15 00:00:00,"Saturday",15.00,287.00,41.00,41.00,"34638",4.00,"4Q94",1994.00,"N"
16.00,1994-10-16 00:00:00,"Sunday",16.00,288.00,42.00,42.00,"34638",4.00,"4Q94",1994.00,"N"
17.00,1994-10-17 00:00:00,"Monday",17.00,289.00,42.00,42.00,"34638",4.00,"4Q94",1994.00,"N"
18.00,1994-10-18 00:00:00,"Tuesday",18.00,290.00,42.00,42.00,"34638",4.00,"4Q94",1994.00,"N"
19.00,1994-10-19 00:00:00,"Wednesday",19.00,291.00,42.00,42.00,"34638",4.00,"4Q94",1994.00,"N"
20.00,1994-10-20 00:00:00,"Thursday",20.00,292.00,42.00,42.00,"34638",4.00,"4Q94",1994.00,"N"
21.00,1994-10-21 00:00:00,"Friday",21.00,293.00,42.00,42.00,"34638",4.00,"4Q94",1994.00,"N"
22.00,1994-10-22 00:00:00,"Saturday",22.00,294.00,42.00,42.00,"34638",4.00,"4Q94",1994.00,"N"
23.00,1994-10-23 00:00:00,"Sunday",23.00,295.00,43.00,43.00,"34638",4.00,"4Q94",1994.00,"N"
24.00,1994-10-24 00:00:00,"Monday",24.00,296.00,43.00,43.00,"34638",4.00,"4Q94",1994.00,"N"
25.00,1994-10-25 00:00:00,"Tuesday",25.00,297.00,43.00,43.00,"34638",4.00,"4Q94",1994.00,"N"
26.00,1994-10-26 00:00:00,"Wednesday",26.00,298.00,43.00,43.00,"34638",4.00,"4Q94",1994.00,"N"
27.00,1994-10-27 00:00:00,"Thursday",27.00,299.00,43.00,43.00,"34638",4.00,"4Q94",1994.00,"N"
28.00,1994-10-28 00:00:00,"Friday",28.00,300.00,43.00,43.00,"34638",4.00,"4Q94",1994.00,"N"
29.00,1994-10-29 00:00:00,"Saturday",29.00,301.00,43.00,43.00,"34638",4.00,"4Q94",1994.00,"N"
30.00,1994-10-30 00:00:00,"Sunday",30.00,302.00,44.00,44.00,"34638",4.00,"4Q94",1994.00,"N"
31.00,1994-10-31 00:00:00,"Monday",31.00,303.00,44.00,44.00,"34638",4.00,"4Q94",1994.00,"Y"
32.00,1994-11-01 00:00:00,"Tuesday",1.00,304.00,44.00,44.00,"34668",4.00,"4Q94",1994.00,"N"
33.00,1994-11-02 00:00:00,"Wednesday",2.00,305.00,44.00,44.00,"34668",4.00,"4Q94",1994.00,"N"
34.00,1994-11-03 00:00:00,"Thursday",3.00,306.00,44.00,44.00,"34668",4.00,"4Q94",1994.00,"N"
35.00,1994-11-04 00:00:00,"Friday",4.00,307.00,44.00,44.00,"34668",4.00,"4Q94",1994.00,"N"
36.00,1994-11-05 00:00:00,"Saturday",5.00,308.00,44.00,44.00,"34668",4.00,"4Q94",1994.00,"N"
